checkm_contamination,cgmlst_hc100,genome_id,genome_name,genome_quality,genome_length,contigs,species,genome_status,isolation_country,cgmlst_hc50,host_common_name,checkm_completeness,cgmlst_hc20,collection_year
0.0,21967,562.64888,Escherichia coli strain AMC_938,Good,5331823,302,Escherichia coli,WGS,United Kingdom,42375,Human,99.78,42375,
0.0,8434,562.64891,Escherichia coli strain AMC_929,Good,4904904,160,Escherichia coli,WGS,United Kingdom,42439,Human,99.78,42439,
0.0,44,562.64896,Escherichia coli strain AMC_925,Good,4942193,161,Escherichia coli,WGS,United Kingdom,44,Human,99.78,1426,
0.0,12,562.64908,Escherichia coli strain AMC_918,Good,5063947,77,Escherichia coli,WGS,United Kingdom,12,Human,99.78,12,
0.0,8425,562.64909,Escherichia coli strain AMC_919,Good,5149458,100,Escherichia coli,WGS,United Kingdom,42447,Human,99.78,42447,
0.0,10,562.64915,Escherichia coli strain AMC_902,Good,5378043,140,Escherichia coli,WGS,United Kingdom,695,Human,99.67,43438,
0.0,107,562.64917,Escherichia coli strain AMC_911,Good,4979055,81,Escherichia coli,WGS,United Kingdom,43440,Human,99.78,43440,
0.11,43442,562.64931,Escherichia coli strain AMC_337,Good,5044368,81,Escherichia coli,WGS,United Kingdom,43442,Human,99.78,43442,
0.0,104,562.64944,Escherichia coli strain AMC_318,Good,5242909,115,Escherichia coli,WGS,United Kingdom,42897,Human,99.78,42897,
0.66,11351,562.64949,Escherichia coli strain AMC_316,Good,5321119,171,Escherichia coli,WGS,United Kingdom,11351,Human,99.78,42898,
0.0,43453,562.64981,Escherichia coli strain AMC_87,Good,4730793,78,Escherichia coli,WGS,United Kingdom,43453,Human,99.78,43453,
0.0,107,562.64983,Escherichia coli strain AMC_756,Good,5117219,110,Escherichia coli,WGS,United Kingdom,1370,Human,99.78,42915,
0.0,18,562.65022,Escherichia coli strain AMC_292,Good,5225401,116,Escherichia coli,WGS,United Kingdom,18,Human,99.78,42930,
0.11,5936,562.65027,Escherichia coli strain AMC_299,Good,5383807,129,Escherichia coli,WGS,United Kingdom,42935,Human,99.78,42935,
0.0,18,562.65033,Escherichia coli strain AMC_276,Good,5019109,84,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43,
0.0,10896,562.65036,Escherichia coli strain AMC_284,Good,5253457,142,Escherichia coli,WGS,United Kingdom,19386,Human,99.78,42477,
0.0,3091,562.65065,Escherichia coli strain AMC_246,Good,5169388,69,Escherichia coli,WGS,United Kingdom,10354,Human,99.78,42396,
0.11,107,562.65083,Escherichia coli strain AMC_240,Good,5022964,105,Escherichia coli,WGS,United Kingdom,42503,Human,99.78,42503,
0.0,42512,562.65094,Escherichia coli strain AMC_234,Good,4559094,110,Escherichia coli,WGS,United Kingdom,42512,Human,99.78,42512,
0.11,104,562.65116,Escherichia coli strain AMC_879,Good,5101160,109,Escherichia coli,WGS,United Kingdom,43478,Human,99.67,43478,
0.0,10,562.65126,Escherichia coli strain AMC_176,Good,5205810,165,Escherichia coli,WGS,United Kingdom,695,Human,99.78,42536,
0.11,10,562.65127,Escherichia coli strain AMC_175,Good,5258612,176,Escherichia coli,WGS,United Kingdom,695,Human,99.78,42537,
0.0,18,562.65128,Escherichia coli strain AMC_174,Good,5355265,112,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43411,
0.0,2483,562.65157,Escherichia coli strain AMC_538,Good,5146290,87,Escherichia coli,WGS,United Kingdom,42945,Human,99.78,42945,
0.0,34,562.65158,Escherichia coli strain AMC_532,Good,4973093,95,Escherichia coli,WGS,United Kingdom,42548,Human,99.78,42548,
0.0,107,562.65185,Escherichia coli strain AMC_519,Good,5100241,109,Escherichia coli,WGS,United Kingdom,23360,Human,99.78,23360,
0.11,,562.65236,Escherichia coli strain AMC_466,Good,5075496,59,Escherichia coli,WGS,United Kingdom,,Human,99.67,,
0.0,5070,562.65244,Escherichia coli strain AMC_458,Good,4745914,70,Escherichia coli,WGS,United Kingdom,23370,Human,99.78,23370,
0.11,,562.65255,Escherichia coli strain AMC_454,Good,5045092,111,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,12,562.65262,Escherichia coli strain AMC_443,Good,4840823,74,Escherichia coli,WGS,United Kingdom,12,Human,99.78,12,
0.0,107,562.65263,Escherichia coli strain AMC_434,Good,5051066,162,Escherichia coli,WGS,United Kingdom,1370,Human,99.78,23099,
0.0,,562.65267,Escherichia coli strain AMC_435,Good,4908299,168,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,185,562.65312,Escherichia coli strain AMC_397,Good,4955604,127,Escherichia coli,WGS,United Kingdom,1258,Human,99.78,4691,
0.0,,562.65323,Escherichia coli strain AMC_77,Good,5098486,80,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,185,562.65325,Escherichia coli strain AMC_78,Good,5001625,59,Escherichia coli,WGS,United Kingdom,43250,Human,99.78,43250,
0.0,,562.65332,Escherichia coli strain AMC_63,Good,5024989,68,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65333,Escherichia coli strain AMC_61,Good,5342499,155,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,3821,562.65342,Escherichia coli strain AMC_392,Good,5238044,134,Escherichia coli,WGS,United Kingdom,7905,Human,99.78,43256,
0.0,,562.65358,Escherichia coli strain AMC_381,Good,5139567,116,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65361,Escherichia coli strain AMC_368,Good,4806632,67,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,107,562.65365,Escherichia coli strain AMC_58,Good,5088471,160,Escherichia coli,WGS,United Kingdom,3321,Human,99.78,23121,
0.0,6904,562.65381,Escherichia coli strain AMC_43,Good,5057001,130,Escherichia coli,WGS,United Kingdom,23123,Human,99.78,23123,
0.11,,562.65397,Escherichia coli strain AMC_28,Good,4885023,80,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,18,562.65406,Escherichia coli strain AMC_19,Good,5260213,129,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43,
0.11,202,562.65411,Escherichia coli strain AMC_10,Good,4806412,117,Escherichia coli,WGS,United Kingdom,3208,Human,99.78,42587,
0.0,18,562.65426,Escherichia coli strain AMC_7,Good,5121239,100,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43,
0.0,2483,562.65428,Escherichia coli strain AMC_865,Good,5012321,71,Escherichia coli,WGS,United Kingdom,11323,Human,99.78,42595,
0.11,2351,562.65432,Escherichia coli strain AMC_867,Good,5051454,159,Escherichia coli,WGS,United Kingdom,2351,Human,99.78,42596,
0.0,107,562.65447,Escherichia coli strain AMC_722,Good,5243813,193,Escherichia coli,WGS,United Kingdom,3321,Human,99.78,23121,
0.0,107,562.65462,Escherichia coli strain AMC_703,Good,4889293,87,Escherichia coli,WGS,United Kingdom,42510,Human,99.78,42601,
0.11,2069,562.65463,Escherichia coli strain AMC_169,Good,4922076,33,Escherichia coli,WGS,United Kingdom,2069,Human,99.78,42602,
0.0,,562.65465,Escherichia coli strain AMC_707,Good,4957713,121,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,162,562.65476,Escherichia coli strain AMC_158,Good,5361293,220,Escherichia coli,WGS,United Kingdom,162,Human,99.78,43295,
0.0,18,562.65484,Escherichia coli strain AMC_155,Good,5202069,74,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43511,
0.22,107,562.65488,Escherichia coli strain AMC_149,Good,5159148,124,Escherichia coli,WGS,United Kingdom,130,Human,99.78,42490,
0.22,162,562.65498,Escherichia coli strain AMC_700,Good,5247163,135,Escherichia coli,WGS,United Kingdom,42618,Human,99.78,42618,
0.33,42622,562.65504,Escherichia coli strain AMC_145,Good,4865864,156,Escherichia coli,WGS,United Kingdom,42622,Human,99.44,42622,
0.11,8928,562.65509,Escherichia coli strain AMC_684,Good,4922859,248,Escherichia coli,WGS,United Kingdom,8928,Human,99.67,42627,
0.0,23753,562.65513,Escherichia coli strain AMC_690,Good,5208341,198,Escherichia coli,WGS,United Kingdom,23753,Human,99.78,23753,
0.0,107,562.65514,Escherichia coli strain AMC_688,Good,5247639,125,Escherichia coli,WGS,United Kingdom,2445,Human,99.78,43444,
0.0,18,562.65516,Escherichia coli strain AMC_681,Good,5133039,86,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43514,
0.11,3091,562.65522,Escherichia coli strain AMC_677,Good,5180521,61,Escherichia coli,WGS,United Kingdom,3091,Human,99.78,43516,
0.11,,562.65528,Escherichia coli strain AMC_669,Good,5234969,138,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65567,Escherichia coli strain AMC_631,Good,5221514,88,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,512,562.65577,Escherichia coli strain AMC_619,Good,5072454,66,Escherichia coli,WGS,United Kingdom,23141,Human,99.78,23141,
0.0,,562.65585,Escherichia coli strain AMC_615,Good,5437129,146,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65588,Escherichia coli strain AMC_609,Good,5206518,184,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,3091,562.65596,Escherichia coli strain AMC_603,Good,5159552,66,Escherichia coli,WGS,United Kingdom,3091,Human,99.78,42640,
0.0,2493,562.65605,Escherichia coli strain AMC_606,Good,4734510,115,Escherichia coli,WGS,United Kingdom,2493,Human,99.78,12778,
0.0,23146,562.65608,Escherichia coli strain AMC_140,Good,5025009,157,Escherichia coli,WGS,United Kingdom,23146,Human,99.78,23146,
0.0,107,562.65616,Escherichia coli strain AMC_593,Good,5215617,169,Escherichia coli,WGS,United Kingdom,1370,Human,99.78,23148,
0.0,,562.65645,Escherichia coli strain AMC_588,Good,5250339,193,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.22,43572,562.65658,Escherichia coli strain AMC_574,Good,5007579,113,Escherichia coli,WGS,United Kingdom,43572,Human,99.67,43572,
0.0,107,562.65662,Escherichia coli strain AMC_564,Good,5276918,171,Escherichia coli,WGS,United Kingdom,3321,Human,99.78,43523,
0.0,10865,562.65665,Escherichia coli strain AMC_567,Good,5125364,121,Escherichia coli,WGS,United Kingdom,43579,Human,99.78,43579,
0.0,107,562.65667,Escherichia coli strain AMC_196,Good,5274984,157,Escherichia coli,WGS,United Kingdom,3321,Human,99.78,23121,
0.0,107,562.65671,Escherichia coli strain AMC_195,Good,5083645,107,Escherichia coli,WGS,United Kingdom,14886,Human,99.78,43538,
0.0,171,562.65682,Escherichia coli strain AMC_188,Good,4877670,104,Escherichia coli,WGS,United Kingdom,43584,Human,99.78,43584,
0.0,18,562.65686,Escherichia coli strain AMC_807,Good,5106764,107,Escherichia coli,WGS,United Kingdom,18,Human,99.78,23157,
0.0,,562.65688,Escherichia coli strain AMC_811,Good,5007039,120,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,198,562.65694,Escherichia coli strain AMC_805,Good,5052852,159,Escherichia coli,WGS,United Kingdom,43589,Human,99.78,43589,
0.0,31769,562.65702,Escherichia coli strain AMC_799,Good,5295052,178,Escherichia coli,WGS,United Kingdom,43592,Human,99.67,43592,
0.0,18,562.65716,Escherichia coli strain AMC_782,Good,5299849,157,Escherichia coli,WGS,United Kingdom,18,Human,99.78,23161,
0.0,,562.65722,Escherichia coli strain AMC_779,Good,5280470,95,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,2,562.65723,Escherichia coli strain AMC_778,Good,5221418,127,Escherichia coli,WGS,United Kingdom,2478,Human,99.78,23378,
0.0,11351,562.65736,Escherichia coli strain AMC_225,Good,5169850,157,Escherichia coli,WGS,United Kingdom,11351,Human,99.78,23168,
0.0,10,562.65739,Escherichia coli strain AMC_760,Good,5302160,90,Escherichia coli,WGS,United Kingdom,695,Human,99.78,3603,
0.0,10,562.65749,Escherichia coli strain AMC_762,Good,5362324,112,Escherichia coli,WGS,United Kingdom,695,Human,99.78,23176,
0.11,4201,562.65752,Escherichia coli strain AMC_207,Good,5369304,155,Escherichia coli,WGS,United Kingdom,4201,Human,99.78,11280,
0.0,,562.65756,Escherichia coli strain AMC_208,Good,5044827,61,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,246,562.64831,Escherichia coli strain AMC_358,Good,4871782,101,Escherichia coli,WGS,United Kingdom,603,Human,99.78,42356,
0.0,18,562.64851,Escherichia coli strain AMC_969,Good,5228306,161,Escherichia coli,WGS,United Kingdom,18,Human,99.33,42703,
0.0,18,562.64865,Escherichia coli strain AMC_961,Good,5248538,143,Escherichia coli,WGS,United Kingdom,18,Human,99.78,42884,
0.0,44,562.64879,Escherichia coli strain AMC_935,Good,5068861,123,Escherichia coli,WGS,United Kingdom,44,Human,99.78,42434,
0.11,107,562.64899,Escherichia coli strain AMC_928,Good,5108661,100,Escherichia coli,WGS,United Kingdom,42891,Human,99.78,42891,
0.0,43249,562.64903,Escherichia coli strain AMC_915,Good,5168540,119,Escherichia coli,WGS,United Kingdom,43249,Human,99.78,43249,
0.11,7384,562.64906,Escherichia coli strain AMC_921,Good,5105688,122,Escherichia coli,WGS,United Kingdom,42379,Human,99.78,42379,
0.0,107,562.64912,Escherichia coli strain AMC_904,Good,5129348,176,Escherichia coli,WGS,United Kingdom,1370,Human,99.78,42383,
0.0,7542,562.64946,Escherichia coli strain AMC_315,Good,5092259,135,Escherichia coli,WGS,United Kingdom,43448,Human,99.78,43448,
0.0,10,562.64957,Escherichia coli strain AMC_104,Good,5225812,139,Escherichia coli,WGS,United Kingdom,139,Human,99.67,24546,
0.0,18,562.64959,Escherichia coli strain AMC_105,Good,5027352,60,Escherichia coli,WGS,United Kingdom,18,Human,99.78,42902,
0.0,44,562.64967,Escherichia coli strain AMC_98,Good,4889489,62,Escherichia coli,WGS,United Kingdom,44,Human,99.78,1426,
0.0,18,562.64972,Escherichia coli strain AMC_97,Good,5298111,141,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43411,
0.0,42468,562.64992,Escherichia coli strain AMC_747,Good,5175804,62,Escherichia coli,WGS,United Kingdom,42468,Human,99.78,42468,
0.0,43456,562.65006,Escherichia coli strain AMC_734,Good,4983502,153,Escherichia coli,WGS,United Kingdom,43456,Human,99.78,43456,
0.22,202,562.65012,Escherichia coli strain AMC_302,Good,4779444,112,Escherichia coli,WGS,United Kingdom,571,Human,99.78,571,
0.0,246,562.65015,Escherichia coli strain AMC_304,Good,4800689,91,Escherichia coli,WGS,United Kingdom,43458,Human,99.78,43458,
0.11,107,562.65016,Escherichia coli strain AMC_305,Good,5006325,128,Escherichia coli,WGS,United Kingdom,43459,Human,99.78,43459,
0.0,2177,562.65017,Escherichia coli strain AMC_307,Good,5042648,35,Escherichia coli,WGS,United Kingdom,12297,Human,99.78,12297,
0.11,42929,562.65018,Escherichia coli strain AMC_306,Good,4908523,59,Escherichia coli,WGS,United Kingdom,42929,Human,99.78,42929,
0.0,43463,562.65021,Escherichia coli strain AMC_288,Good,5083829,127,Escherichia coli,WGS,United Kingdom,43463,Human,99.78,43463,
0.0,107,562.65028,Escherichia coli strain AMC_297,Good,5115473,154,Escherichia coli,WGS,United Kingdom,1370,Human,99.78,42936,
0.0,44,562.65064,Escherichia coli strain AMC_2,Good,4929208,133,Escherichia coli,WGS,United Kingdom,42395,Human,99.78,42395,
0.11,,562.65073,Escherichia coli strain AMC_1,Good,5216590,175,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,2,562.65079,Escherichia coli strain AMC_241,Good,5397648,150,Escherichia coli,WGS,United Kingdom,42499,Human,99.78,42499,
0.0,,562.65084,Escherichia coli strain AMC_237,Good,5077533,106,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,18,562.65087,Escherichia coli strain AMC_897,Good,5165893,89,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43,
0.0,10,562.65091,Escherichia coli strain AMC_229,Good,5338853,105,Escherichia coli,WGS,United Kingdom,695,Human,99.67,42509,
0.0,107,562.65112,Escherichia coli strain AMC_880,Good,5203479,148,Escherichia coli,WGS,United Kingdom,2445,Human,99.78,42526,
0.0,42530,562.65118,Escherichia coli strain AMC_875,Good,4968894,82,Escherichia coli,WGS,United Kingdom,42530,Human,99.78,42530,
0.11,42535,562.65123,Escherichia coli strain AMC_181,Good,5174284,105,Escherichia coli,WGS,United Kingdom,42535,Human,99.78,42535,
0.0,18,562.65134,Escherichia coli strain AMC_558,Good,5277215,171,Escherichia coli,WGS,United Kingdom,18,Human,99.78,43411,
0.11,512,562.65153,Escherichia coli strain AMC_547,Good,5065124,62,Escherichia coli,WGS,United Kingdom,1465,Human,99.78,42544,
0.11,10,562.65155,Escherichia coli strain AMC_539,Good,5427238,149,Escherichia coli,WGS,United Kingdom,695,Human,99.78,42546,
0.0,18,562.65163,Escherichia coli strain AMC_536,Good,5138516,112,Escherichia coli,WGS,United Kingdom,18,Human,99.78,42946,
0.0,107,562.65173,Escherichia coli strain AMC_524,Good,5113997,134,Escherichia coli,WGS,United Kingdom,3321,Human,99.78,13323,
0.11,,562.65203,Escherichia coli strain AMC_504,Good,4868214,60,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,,562.65206,Escherichia coli strain AMC_508,Good,4982282,106,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,18,562.65207,Escherichia coli strain AMC_493,Good,5252632,109,Escherichia coli,WGS,United Kingdom,18,Human,99.78,23087,
0.0,,562.65212,Escherichia coli strain AMC_488,Good,4957034,51,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,,562.65219,Escherichia coli strain AMC_483,Good,5092643,140,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65223,Escherichia coli strain AMC_485,Good,5400647,143,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65225,Escherichia coli strain AMC_479,Good,5031527,149,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65235,Escherichia coli strain AMC_467,Good,5152499,150,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65287,Escherichia coli strain AMC_418,Good,4972168,120,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,,562.65288,Escherichia coli strain AMC_414,Good,4860062,69,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65304,Escherichia coli strain AMC_406,Good,5135085,93,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,3091,562.65316,Escherichia coli strain AMC_82,Good,5205381,80,Escherichia coli,WGS,United Kingdom,3091,Human,99.78,42464,
0.0,,562.65635,Escherichia coli strain AMC_115,Good,4866743,60,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65637,Escherichia coli strain AMC_122,Good,5221319,237,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,1172,562.65639,Escherichia coli strain AMC_125,Good,5141132,117,Escherichia coli,WGS,United Kingdom,1172,Human,99.78,4885,
0.0,,562.65642,Escherichia coli strain AMC_582,Good,5063139,202,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65644,Escherichia coli strain AMC_581,Good,5093557,98,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.33,355,562.65648,Escherichia coli strain AMC_580,Good,5146535,108,Escherichia coli,WGS,United Kingdom,23078,Human,99.78,23078,
0.11,15,562.65649,Escherichia coli strain AMC_589,Good,4721608,128,Escherichia coli,WGS,United Kingdom,31253,Human,99.78,43567,
0.11,974,562.65651,Escherichia coli strain AMC_579,Good,4940178,60,Escherichia coli,WGS,United Kingdom,43568,Human,99.78,43568,
0.0,107,562.65652,Escherichia coli strain AMC_572,Good,5150805,128,Escherichia coli,WGS,United Kingdom,43569,Human,99.78,43569,
0.0,10,562.65659,Escherichia coli strain AMC_573,Good,5014903,80,Escherichia coli,WGS,United Kingdom,1633,Human,99.78,43573,
0.11,514,562.65663,Escherichia coli strain AMC_565,Good,5075501,72,Escherichia coli,WGS,United Kingdom,43577,Human,99.78,43577,
0.0,3335,562.65666,Escherichia coli strain AMC_566,Good,5151377,82,Escherichia coli,WGS,United Kingdom,23150,Human,99.78,23150,
0.0,,562.65668,Escherichia coli strain AMC_563,Good,5157140,231,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,8286,562.65672,Escherichia coli strain AMC_194,Good,4560971,136,Escherichia coli,WGS,United Kingdom,23160,Human,99.78,43582,
0.0,34,562.65675,Escherichia coli strain AMC_189,Good,4962031,88,Escherichia coli,WGS,United Kingdom,347,Human,99.78,23153,
0.0,,562.65676,Escherichia coli strain AMC_190,Good,5128360,144,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.22,185,562.65679,Escherichia coli strain AMC_186,Good,5053182,122,Escherichia coli,WGS,United Kingdom,1258,Human,99.78,4691,
0.0,43586,562.65684,Escherichia coli strain AMC_808,Good,5098460,80,Escherichia coli,WGS,United Kingdom,43586,Human,99.78,43586,
0.0,,562.65689,Escherichia coli strain AMC_810,Good,5184043,55,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,10908,562.65696,Escherichia coli strain AMC_795,Good,4947090,82,Escherichia coli,WGS,United Kingdom,23106,Human,99.78,23158,
0.0,,562.65699,Escherichia coli strain AMC_800,Good,5025573,101,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,15547,562.65701,Escherichia coli strain AMC_798,Good,5036688,93,Escherichia coli,WGS,United Kingdom,43591,Human,99.78,43591,
0.0,34,562.65703,Escherichia coli strain AMC_803,Good,4803807,52,Escherichia coli,WGS,United Kingdom,12413,Human,99.78,43593,
0.22,107,562.65705,Escherichia coli strain AMC_794,Good,5138739,145,Escherichia coli,WGS,United Kingdom,2445,Human,99.78,23762,
0.0,4854,562.65706,Escherichia coli strain AMC_788,Good,4963490,116,Escherichia coli,WGS,United Kingdom,10819,Human,99.78,23763,
0.0,,562.65708,Escherichia coli strain AMC_784,Good,4950085,77,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,10,562.65709,Escherichia coli strain AMC_786,Good,5055444,79,Escherichia coli,WGS,United Kingdom,695,Human,99.78,2701,
0.0,,562.65711,Escherichia coli strain AMC_790,Good,5059919,117,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,,562.65712,Escherichia coli strain AMC_789,Good,5372055,205,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,23764,562.65713,Escherichia coli strain AMC_792,Good,5002664,82,Escherichia coli,WGS,United Kingdom,23764,Human,99.78,23764,
0.0,10913,562.65714,Escherichia coli strain AMC_791,Good,4929232,74,Escherichia coli,WGS,United Kingdom,10913,Human,99.78,23159,
0.11,8286,562.65715,Escherichia coli strain AMC_783,Good,4564103,134,Escherichia coli,WGS,United Kingdom,23160,Human,99.78,23160,
0.22,1463,562.65717,Escherichia coli strain AMC_780,Good,4837872,55,Escherichia coli,WGS,United Kingdom,1463,Human,99.78,23376,
0.0,10,562.65718,Escherichia coli strain AMC_781,Good,5306459,231,Escherichia coli,WGS,United Kingdom,695,Human,99.78,23377,
0.0,2483,562.65719,Escherichia coli strain AMC_776,Good,5162457,131,Escherichia coli,WGS,United Kingdom,11142,Human,99.78,23162,
0.0,34,562.65721,Escherichia coli strain AMC_777,Good,5041536,109,Escherichia coli,WGS,United Kingdom,347,Human,99.78,12596,
0.22,107,562.65724,Escherichia coli strain AMC_771,Good,5044733,178,Escherichia coli,WGS,United Kingdom,23379,Human,99.78,23379,
0.11,,562.65727,Escherichia coli strain AMC_773,Good,5022035,105,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,,562.65728,Escherichia coli strain AMC_766,Good,5002428,219,Escherichia coli,WGS,United Kingdom,,Human,98.89,,
0.22,,562.65729,Escherichia coli strain AMC_763,Good,5309952,136,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.33,23766,562.65731,Escherichia coli strain AMC_764,Good,4694946,62,Escherichia coli,WGS,United Kingdom,23766,Human,99.78,23766,
0.0,23165,562.65732,Escherichia coli strain AMC_765,Good,5081092,63,Escherichia coli,WGS,United Kingdom,23165,Human,99.78,23165,
0.22,23767,562.65734,Escherichia coli strain AMC_224,Good,4698290,125,Escherichia coli,WGS,United Kingdom,23767,Human,99.78,23767,
0.0,12983,562.65737,Escherichia coli strain AMC_759,Good,5337520,201,Escherichia coli,WGS,United Kingdom,12983,Human,99.78,23169,
0.22,107,562.65743,Escherichia coli strain AMC_218,Good,5117623,125,Escherichia coli,WGS,United Kingdom,130,Human,99.78,23129,
0.22,23174,562.65745,Escherichia coli strain AMC_221,Good,5088841,209,Escherichia coli,WGS,United Kingdom,23174,Human,99.67,23174,
0.11,,562.65748,Escherichia coli strain AMC_770,Good,5047948,125,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.33,3091,562.65751,Escherichia coli strain AMC_215,Good,5154611,76,Escherichia coli,WGS,United Kingdom,23178,Human,99.78,23178,
0.0,11806,562.65754,Escherichia coli strain AMC_206,Good,4704866,190,Escherichia coli,WGS,United Kingdom,23383,Human,99.78,23383,
0.0,,562.65757,Escherichia coli strain AMC_213,Good,5070277,120,Escherichia coli,WGS,United Kingdom,,Human,99.67,,
0.0,,562.65761,Escherichia coli strain AMC_202,Good,5111335,210,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.0,107,562.65764,Escherichia coli strain AMC_200,Good,5054863,105,Escherichia coli,WGS,United Kingdom,130,Human,99.78,23769,
0.11,107,562.65384,Escherichia coli strain AMC_38,Good,5182249,146,Escherichia coli,WGS,United Kingdom,23125,Human,99.78,23125,
0.0,3091,562.65385,Escherichia coli strain AMC_41,Good,4965287,86,Escherichia coli,WGS,United Kingdom,3091,Human,99.78,23126,
0.11,104,562.65386,Escherichia coli strain AMC_39,Good,5194632,128,Escherichia coli,WGS,United Kingdom,42425,Human,99.78,42425,
0.0,103,562.65387,Escherichia coli strain AMC_42,Good,5288134,175,Escherichia coli,WGS,United Kingdom,42452,Human,99.78,42452,
0.22,23127,562.65388,Escherichia coli strain AMC_34,Good,5034608,111,Escherichia coli,WGS,United Kingdom,23127,Human,99.78,23127,
0.11,3091,562.65391,Escherichia coli strain AMC_35,Good,5070850,46,Escherichia coli,WGS,United Kingdom,3091,Human,99.78,42464,
0.0,43271,562.65393,Escherichia coli strain AMC_33,Good,4645083,74,Escherichia coli,WGS,United Kingdom,43271,Human,99.78,43271,
0.0,34,562.65395,Escherichia coli strain AMC_31,Good,5026074,115,Escherichia coli,WGS,United Kingdom,347,Human,99.78,43272,
0.33,,562.65399,Escherichia coli strain AMC_27,Good,5036092,235,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.33,23131,562.65402,Escherichia coli strain AMC_24,Good,4689302,106,Escherichia coli,WGS,United Kingdom,23131,Human,99.55,23131,
0.11,18,562.65403,Escherichia coli strain AMC_25,Good,5209853,108,Escherichia coli,WGS,United Kingdom,18,Human,99.78,42450,
0.11,,562.65404,Escherichia coli strain AMC_20,Good,5059745,97,Escherichia coli,WGS,United Kingdom,,Human,99.78,,
0.11,3091,562.65405,Escherichia coli strain AMC_23,Good,5059322,59,Escherichia coli,WGS,United Kingdom,3091,Human,99.78,42579,
0.44,42584,562.65408,Escherichia coli strain AMC_18,Good,5171108,157,Escherichia coli,WGS,United Kingdom,42584,Human,99.78,42584,
0.11,3091,562.65413,Escherichia coli strain AMC_13,Good,5062062,67,Escherichia coli,WGS,United Kingdom,3091,Human,99.78,42589,
0.22,1564,562.65414,Escherichia coli strain AMC_11,Good,5062085,99,Escherichia coli,WGS,United Kingdom,42417,Human,99.78,42417,
0.0,43275,562.65415,Escherichia coli strain AMC_12,Good,5138900,106,Escherichia coli,WGS,United Kingdom,43275,Human,99.78,43275,
